data,obiekt,band,max,min,mean,max-min,max_after,min_after,mean_after,max-min_after
2020-03-15,igl,b10,832,548,723.7,284,831.0,573.0,725.4736842105264,258.0
2020-03-15,igl,b11,450,297,383.15,153,449.0,316.0,383.6578947368421,133.0
2020-03-15,igl,b12,1705,1265,1565.375,440,1693.0,1317.0,1569.6052631578948,376.0
2020-03-15,lisc,b1,125,72,104.35,53,125,72,104.35,53
2020-03-15,lisc,b2,289,171,229.825,118,286.0,175.0,229.81578947368422,111.0
2020-03-15,lisc,b3,413,214,302.15,199,356.0,235.0,301.55263157894734,121.0
2020-03-15,lisc,b4,590,342,438.125,248,516.0,352.0,436.6578947368421,164.0
2020-03-15,lisc,b5,817,545,644.925,272,735.0,554.0,643.0263157894736,181.0
2020-03-15,lisc,b6,1065,732,859.35,333,1035.0,732.0,857.2894736842105,303.0
2020-03-15,lisc,b7,1237,829,1009.3,408,1190.0,855.0,1008.0526315789474,335.0
2020-03-15,lisc,b8,1638,1078,1260.375,560,1580.0,1078.0,1255.2368421052631,502.0
2020-03-15,lisc,b9,1368,1053,1225.425,315,1365.0,1082.0,1226.2105263157894,283.0
2020-03-15,lisc,b10,1979,1287,1597.9,692,1884.0,1289.0,1596.0526315789473,595.0
2020-03-15,lisc,b11,1301,868,1059.95,433,1244.0,890.0,1058.657894736842,354.0
2020-03-15,lisc,b12,1612,1042,1261.7,570,1499.0,1099.0,1258.2631578947369,400.0
2020-04-07,trw,b1,232,116,185.1951219512195,116,232.0,118.0,185.74358974358975,114.0
2020-04-07,trw,b2,476,184,323.390243902439,292,469.0,194.0,323.06410256410254,275.0
2020-04-07,trw,b3,833,397,634.7317073170732,436,821.0,419.0,635.8076923076923,402.0
2020-04-07,trw,b4,1076,306,672.7317073170732,770,1032.0,319.0,671.9358974358975,713.0
2020-04-07,trw,b5,1703,752,1243.8658536585365,951,1602.0,789.0,1244.474358974359,813.0
2020-04-07,trw,b6,2721,1252,2165.7073170731705,1469,2688.0,1520.0,2174.9358974358975,1168.0
2020-04-07,trw,b7,3053,1496,2502.9756097560976,1557,3028.0,1800.0,2513.4102564102564,1228.0
2020-04-07,trw,b8,3379,1731,2737.012195121951,1648,3288.0,1997.0,2746.2820512820513,1291.0
2020-04-07,trw,b9,3459,2226,3006.609756097561,1233,3459.0,2425.0,3015.025641025641,1034.0
2020-04-07,trw,b10,3300,1972,2701.0731707317073,1328,3205.0,1980.0,2705.397435897436,1225.0
